boxscore_index,date,datetime,game,location,losses,opponent_abbr,opponent_name,playoffs,points_allowed,points_scored,result,streak,time,wins,team_abbr,team_name
201910220LAC,"Tue, Oct 22, 2019",22-10-2019,1,Home,0,LAL,Los Angeles Lakers,FALSE,102,112,Win,W 1,10:30p,1,LAC,Los Angeles Clippers
201910220TOR,"Tue, Oct 22, 2019",22-10-2019,1,Home,0,NOP,New Orleans Pelicans,FALSE,122,130,Win,W 1,8:00p,1,TOR,Toronto Raptors
201910230PHI,"Wed, Oct 23, 2019",23-10-2019,1,Away,1,PHI,Philadelphia 76ers,FALSE,107,93,Loss,L 1,7:30p,0,BOS,Boston Celtics
201910230CHO,"Wed, Oct 23, 2019",23-10-2019,1,Away,1,CHO,Charlotte Hornets,FALSE,126,125,Loss,L 1,7:00p,0,CHI,Chicago Bulls
201910230SAS,"Wed, Oct 23, 2019",23-10-2019,1,Away,1,SAS,San Antonio Spurs,FALSE,120,111,Loss,L 1,8:30p,0,NYK,New York Knicks
201910230IND,"Wed, Oct 23, 2019",23-10-2019,1,Away,0,IND,Indiana Pacers,FALSE,110,119,Win,W 1,7:00p,1,DET,Detroit Pistons
201910230DAL,"Wed, Oct 23, 2019",23-10-2019,1,Away,1,DAL,Dallas Mavericks,FALSE,108,100,Loss,L 1,8:30p,0,WAS,Washington Wizards
201910230PHO,"Wed, Oct 23, 2019",23-10-2019,1,Home,0,SAC,Sacramento Kings,FALSE,95,124,Win,W 1,10:00p,1,PHO,Phoenix Suns
201910230ORL,"Wed, Oct 23, 2019",23-10-2019,1,Away,1,ORL,Orlando Magic,FALSE,94,85,Loss,L 1,7:00p,0,CLE,Cleveland Cavaliers
201910230UTA,"Wed, Oct 23, 2019",23-10-2019,1,Away,1,UTA,Utah Jazz,FALSE,100,95,Loss,L 1,9:00p,0,OKC,Oklahoma City Thunder
201910230BRK,"Wed, Oct 23, 2019",23-10-2019,1,Home,1,MIN,Minnesota Timberwolves,FALSE,127,126,Loss,L 1,7:30p,0,BRK,Brooklyn Nets
201910230POR,"Wed, Oct 23, 2019",23-10-2019,1,Home,1,DEN,Denver Nuggets,FALSE,108,100,Loss,L 1,10:00p,0,POR,Portland Trail Blazers
201910230MIA,"Wed, Oct 23, 2019",23-10-2019,1,Away,1,MIA,Miami Heat,FALSE,120,101,Loss,L 1,7:30p,0,MEM,Memphis Grizzlies
201910240GSW,"Thu, Oct 24, 2019",24-10-2019,2,Away,0,GSW,Golden State Warriors,FALSE,122,141,Win,W 2,10:30p,2,LAC,Los Angeles Clippers
201910240DET,"Thu, Oct 24, 2019",24-10-2019,1,Away,0,DET,Detroit Pistons,FALSE,100,117,Win,W 1,7:00p,1,ATL,Atlanta Hawks
201910240HOU,"Thu, Oct 24, 2019",24-10-2019,1,Away,0,HOU,Houston Rockets,FALSE,111,117,Win,W 1,8:00p,1,MIL,Milwaukee Bucks
201910250MEM,"Fri, Oct 25, 2019",25-10-2019,2,Home,2,CHI,Chicago Bulls,FALSE,110,102,Loss,L 2,8:00p,0,MEM,Memphis Grizzlies
201910250SAC,"Fri, Oct 25, 2019",25-10-2019,2,Home,2,POR,Portland Trail Blazers,FALSE,122,112,Loss,L 2,10:00p,0,SAC,Sacramento Kings
201910250CHO,"Fri, Oct 25, 2019",25-10-2019,2,Home,1,MIN,Minnesota Timberwolves,FALSE,121,99,Loss,L 1,7:00p,1,CHO,Charlotte Hornets
201910250OKC,"Fri, Oct 25, 2019",25-10-2019,2,Home,2,WAS,Washington Wizards,FALSE,97,85,Loss,L 2,8:00p,0,OKC,Oklahoma City Thunder
201910250NOP,"Fri, Oct 25, 2019",25-10-2019,2,Away,0,NOP,New Orleans Pelicans,FALSE,116,123,Win,W 2,8:00p,2,DAL,Dallas Mavericks
201910250BRK,"Fri, Oct 25, 2019",25-10-2019,2,Home,1,NYK,New York Knicks,FALSE,109,113,Win,W 1,7:30p,1,BRK,Brooklyn Nets
201910250BOS,"Fri, Oct 25, 2019",25-10-2019,2,Home,1,TOR,Toronto Raptors,FALSE,106,112,Win,W 1,7:00p,1,BOS,Boston Celtics
201910250DEN,"Fri, Oct 25, 2019",25-10-2019,2,Away,1,DEN,Denver Nuggets,FALSE,108,107,Loss,L 1,9:00p,1,PHO,Phoenix Suns
201910250LAL,"Fri, Oct 25, 2019",25-10-2019,2,Away,1,LAL,Los Angeles Lakers,FALSE,95,86,Loss,L 1,10:30p,1,UTA,Utah Jazz
201910260CLE,"Sat, Oct 26, 2019",26-10-2019,2,Away,2,CLE,Cleveland Cavaliers,FALSE,110,99,Loss,L 2,8:00p,0,IND,Indiana Pacers
201910260ATL,"Sat, Oct 26, 2019",26-10-2019,2,Home,0,ORL,Orlando Magic,FALSE,99,103,Win,W 2,7:30p,2,ATL,Atlanta Hawks
201910260UTA,"Sat, Oct 26, 2019",26-10-2019,3,Home,1,SAC,Sacramento Kings,FALSE,81,113,Win,W 1,9:00p,2,UTA,Utah Jazz
201910260SAS,"Sat, Oct 26, 2019",26-10-2019,3,Away,2,SAS,San Antonio Spurs,FALSE,124,122,Loss,L 1,8:30p,1,WAS,Washington Wizards
201910260DET,"Sat, Oct 26, 2019",26-10-2019,3,Home,2,PHI,Philadelphia 76ers,FALSE,117,111,Loss,L 2,7:00p,1,DET,Detroit Pistons
201910260MIL,"Sat, Oct 26, 2019",26-10-2019,2,Home,1,MIA,Miami Heat,FALSE,131,126,Loss,L 1,5:00p,1,MIL,Milwaukee Bucks
201910260HOU,"Sat, Oct 26, 2019",26-10-2019,2,Home,1,NOP,New Orleans Pelicans,FALSE,123,126,Win,W 1,8:00p,1,HOU,Houston Rockets
201910260NYK,"Sat, Oct 26, 2019",26-10-2019,3,Home,3,BOS,Boston Celtics,FALSE,118,95,Loss,L 3,7:30p,0,NYK,New York Knicks
201910260CHI,"Sat, Oct 26, 2019",26-10-2019,3,Away,1,CHI,Chicago Bulls,FALSE,84,108,Win,W 1,8:00p,2,TOR,Toronto Raptors
201910260PHO,"Sat, Oct 26, 2019",26-10-2019,3,Home,1,LAC,Los Angeles Clippers,FALSE,122,130,Win,W 1,10:00p,2,PHO,Phoenix Suns
201910270OKC,"Sun, Oct 27, 2019",27-10-2019,2,Away,2,OKC,Oklahoma City Thunder,FALSE,120,92,Loss,L 2,3:30p,0,GSW,Golden State Warriors
201910270DAL,"Sun, Oct 27, 2019",27-10-2019,3,Away,1,DAL,Dallas Mavericks,FALSE,119,121,Win,W 2,7:00p,2,POR,Portland Trail Blazers
201910270LAL,"Sun, Oct 27, 2019",27-10-2019,3,Home,1,CHO,Charlotte Hornets,FALSE,101,120,Win,W 2,9:30p,2,LAL,Los Angeles Lakers
201910270MIN,"Sun, Oct 27, 2019",27-10-2019,3,Away,1,MIN,Minnesota Timberwolves,FALSE,116,109,Loss,L 1,7:00p,2,MIA,Miami Heat
201910270MEM,"Sun, Oct 27, 2019",27-10-2019,3,Away,2,MEM,Memphis Grizzlies,FALSE,134,133,Loss,L 1,6:00p,1,BRK,Brooklyn Nets
201910280MIL,"Mon, Oct 28, 2019",28-10-2019,3,Home,1,CLE,Cleveland Cavaliers,FALSE,112,129,Win,W 1,8:00p,2,MIL,Milwaukee Bucks
201910280TOR,"Mon, Oct 28, 2019",28-10-2019,4,Home,1,ORL,Orlando Magic,FALSE,95,104,Win,W 2,7:30p,3,TOR,Toronto Raptors
201910280DET,"Mon, Oct 28, 2019",28-10-2019,3,Away,3,DET,Detroit Pistons,FALSE,96,94,Loss,L 3,7:00p,0,IND,Indiana Pacers
201910280NOP,"Mon, Oct 28, 2019",28-10-2019,3,Away,2,NOP,New Orleans Pelicans,FALSE,123,134,Win,W 1,8:00p,1,GSW,Golden State Warriors
201910280HOU,"Mon, Oct 28, 2019",28-10-2019,3,Home,1,OKC,Oklahoma City Thunder,FALSE,112,116,Win,W 2,8:00p,2,HOU,Houston Rockets
201910280PHO,"Mon, Oct 28, 2019",28-10-2019,4,Home,2,UTA,Utah Jazz,FALSE,96,95,Loss,L 1,10:00p,2,PHO,Phoenix Suns
201910280ATL,"Mon, Oct 28, 2019",28-10-2019,3,Away,0,ATL,Atlanta Hawks,FALSE,103,105,Win,W 3,7:30p,3,PHI,Philadelphia 76ers
201910280NYK,"Mon, Oct 28, 2019",28-10-2019,4,Home,3,CHI,Chicago Bulls,FALSE,98,105,Win,W 1,7:00p,1,NYK,New York Knicks
201910280SAC,"Mon, Oct 28, 2019",28-10-2019,3,Away,0,SAC,Sacramento Kings,FALSE,94,101,Win,W 3,10:00p,3,DEN,Denver Nuggets
201910280LAC,"Mon, Oct 28, 2019",28-10-2019,4,Home,1,CHO,Charlotte Hornets,FALSE,96,111,Win,W 1,10:30p,3,LAC,Los Angeles Clippers
201910280SAS,"Mon, Oct 28, 2019",28-10-2019,3,Home,0,POR,Portland Trail Blazers,FALSE,110,113,Win,W 3,8:30p,3,SAS,San Antonio Spurs
201910290DEN,"Tue, Oct 29, 2019",29-10-2019,4,Away,1,DEN,Denver Nuggets,FALSE,106,109,Win,W 1,9:00p,3,DAL,Dallas Mavericks
201910290LAL,"Tue, Oct 29, 2019",29-10-2019,4,Home,1,MEM,Memphis Grizzlies,FALSE,91,120,Win,W 3,10:30p,3,LAL,Los Angeles Lakers
201910290MIA,"Tue, Oct 29, 2019",29-10-2019,4,Home,1,ATL,Atlanta Hawks,FALSE,97,112,Win,W 1,7:30p,3,MIA,Miami Heat
201910300TOR,"Wed, Oct 30, 2019",30-10-2019,5,Home,1,DET,Detroit Pistons,FALSE,113,125,Win,W 3,7:30p,4,TOR,Toronto Raptors
201910300GSW,"Wed, Oct 30, 2019",30-10-2019,5,Away,2,GSW,Golden State Warriors,FALSE,110,121,Win,W 1,10:30p,3,PHO,Phoenix Suns
201910300PHI,"Wed, Oct 30, 2019",30-10-2019,4,Home,0,MIN,Minnesota Timberwolves,FALSE,95,117,Win,W 4,7:00p,4,PHI,Philadelphia 76ers
201910300CLE,"Wed, Oct 30, 2019",30-10-2019,5,Away,4,CLE,Cleveland Cavaliers,FALSE,117,111,Loss,L 3,7:00p,1,CHI,Chicago Bulls
201910300BRK,"Wed, Oct 30, 2019",30-10-2019,4,Away,3,BRK,Brooklyn Nets,FALSE,108,118,Win,W 1,7:30p,1,IND,Indiana Pacers
201910300ORL,"Wed, Oct 30, 2019",30-10-2019,5,Away,4,ORL,Orlando Magic,FALSE,95,83,Loss,L 1,7:00p,1,NYK,New York Knicks
201910300SAC,"Wed, Oct 30, 2019",30-10-2019,5,Home,5,CHO,Charlotte Hornets,FALSE,118,111,Loss,L 5,10:00p,0,SAC,Sacramento Kings
201910300BOS,"Wed, Oct 30, 2019",30-10-2019,4,Home,1,MIL,Milwaukee Bucks,FALSE,105,116,Win,W 3,7:30p,3,BOS,Boston Celtics
201910300UTA,"Wed, Oct 30, 2019",30-10-2019,5,Home,1,LAC,Los Angeles Clippers,FALSE,96,110,Win,W 3,10:00p,4,UTA,Utah Jazz
201910300WAS,"Wed, Oct 30, 2019",30-10-2019,4,Home,3,HOU,Houston Rockets,FALSE,159,158,Loss,L 2,8:00p,1,WAS,Washington Wizards
201910300OKC,"Wed, Oct 30, 2019",30-10-2019,5,Home,4,POR,Portland Trail Blazers,FALSE,102,99,Loss,L 2,8:00p,1,OKC,Oklahoma City Thunder
201910310NOP,"Thu, Oct 31, 2019",31-10-2019,5,Home,4,DEN,Denver Nuggets,FALSE,107,122,Win,W 1,9:30p,1,NOP,New Orleans Pelicans
201910310ATL,"Thu, Oct 31, 2019",31-10-2019,5,Home,3,MIA,Miami Heat,FALSE,106,97,Loss,L 3,7:00p,2,ATL,Atlanta Hawks
201910310LAC,"Thu, Oct 31, 2019",31-10-2019,6,Home,2,SAS,San Antonio Spurs,FALSE,97,103,Win,W 1,10:30p,4,LAC,Los Angeles Clippers
201911010CHI,"Fri, Nov 1, 2019",01-11-2019,6,Away,4,CHI,Chicago Bulls,FALSE,112,106,Loss,L 2,8:00p,2,DET,Detroit Pistons
201911010SAC,"Fri, Nov 1, 2019",01-11-2019,6,Home,5,UTA,Utah Jazz,FALSE,101,102,Win,W 1,10:00p,1,SAC,Sacramento Kings
201911010ORL,"Fri, Nov 1, 2019",01-11-2019,5,Home,3,MIL,Milwaukee Bucks,FALSE,123,91,Loss,L 1,7:00p,2,ORL,Orlando Magic
201911010GSW,"Fri, Nov 1, 2019",01-11-2019,5,Home,4,SAS,San Antonio Spurs,FALSE,127,110,Loss,L 2,10:30p,1,GSW,Golden State Warriors
201911010BOS,"Fri, Nov 1, 2019",01-11-2019,6,Away,5,BOS,Boston Celtics,FALSE,104,102,Loss,L 2,7:30p,1,NYK,New York Knicks
201911010BRK,"Fri, Nov 1, 2019",01-11-2019,5,Away,2,BRK,Brooklyn Nets,FALSE,123,116,Loss,L 1,7:00p,3,HOU,Houston Rockets
201911010DAL,"Fri, Nov 1, 2019",01-11-2019,5,Away,1,DAL,Dallas Mavericks,FALSE,110,119,Win,W 4,9:30p,4,LAL,Los Angeles Lakers
201911010IND,"Fri, Nov 1, 2019",01-11-2019,5,Home,3,CLE,Cleveland Cavaliers,FALSE,95,102,Win,W 2,7:00p,2,IND,Indiana Pacers
201911020MIL,"Sat, Nov 2, 2019",02-11-2019,6,Away,2,MIL,Milwaukee Bucks,FALSE,115,105,Loss,L 1,8:00p,4,TOR,Toronto Raptors
201911020POR,"Sat, Nov 2, 2019",02-11-2019,6,Home,3,PHI,Philadelphia 76ers,FALSE,129,128,Loss,L 1,10:00p,3,POR,Portland Trail Blazers
201911020ORL,"Sat, Nov 2, 2019",02-11-2019,6,Home,4,DEN,Denver Nuggets,FALSE,91,87,Loss,L 2,7:00p,2,ORL,Orlando Magic
201911020MEM,"Sat, Nov 2, 2019",02-11-2019,5,Home,4,PHO,Phoenix Suns,FALSE,114,105,Loss,L 2,8:00p,1,MEM,Memphis Grizzlies
201911020OKC,"Sat, Nov 2, 2019",02-11-2019,6,Away,5,OKC,Oklahoma City Thunder,FALSE,115,104,Loss,L 1,5:00p,1,NOP,New Orleans Pelicans
201911020GSW,"Sat, Nov 2, 2019",02-11-2019,6,Away,3,GSW,Golden State Warriors,FALSE,87,93,Win,W 2,8:30p,3,CHO,Charlotte Hornets
201911020DET,"Sat, Nov 2, 2019",02-11-2019,6,Away,4,DET,Detroit Pistons,FALSE,113,109,Loss,L 1,7:00p,2,BRK,Brooklyn Nets
201911020WAS,"Sat, Nov 2, 2019",02-11-2019,5,Away,1,WAS,Washington Wizards,FALSE,109,131,Win,W 1,8:00p,4,MIN,Minnesota Timberwolves
201911030IND,"Sun, Nov 3, 2019",03-11-2019,6,Home,3,CHI,Chicago Bulls,FALSE,95,108,Win,W 3,5:00p,3,IND,Indiana Pacers
201911030CLE,"Sun, Nov 3, 2019",03-11-2019,6,Home,4,DAL,Dallas Mavericks,FALSE,131,111,Loss,L 2,7:30p,2,CLE,Cleveland Cavaliers
201911030NYK,"Sun, Nov 3, 2019",03-11-2019,7,Home,6,SAC,Sacramento Kings,FALSE,113,92,Loss,L 3,6:00p,1,NYK,New York Knicks
201911030LAC,"Sun, Nov 3, 2019",03-11-2019,7,Away,3,LAC,Los Angeles Clippers,FALSE,105,94,Loss,L 2,9:00p,4,UTA,Utah Jazz
201911030MIA,"Sun, Nov 3, 2019",03-11-2019,6,Away,3,MIA,Miami Heat,FALSE,129,100,Loss,L 2,6:00p,3,HOU,Houston Rockets
201911030SAS,"Sun, Nov 3, 2019",03-11-2019,6,Home,2,LAL,Los Angeles Lakers,FALSE,103,96,Loss,L 1,7:00p,4,SAS,San Antonio Spurs
201911040MIN,"Mon, Nov 4, 2019",04-11-2019,6,Home,2,MIL,Milwaukee Bucks,FALSE,134,106,Loss,L 1,8:00p,4,MIN,Minnesota Timberwolves
201911040PHO,"Mon, Nov 4, 2019",04-11-2019,7,Home,2,PHI,Philadelphia 76ers,FALSE,109,114,Win,W 3,9:00p,5,PHO,Phoenix Suns
201911040GSW,"Mon, Nov 4, 2019",04-11-2019,7,Away,4,GSW,Golden State Warriors,FALSE,127,118,Loss,L 2,10:30p,3,POR,Portland Trail Blazers
201911040BRK,"Mon, Nov 4, 2019",04-11-2019,7,Home,4,NOP,New Orleans Pelicans,FALSE,125,135,Win,W 1,7:30p,3,BRK,Brooklyn Nets
201911040MEM,"Mon, Nov 4, 2019",04-11-2019,6,Home,5,HOU,Houston Rockets,FALSE,107,100,Loss,L 3,8:00p,1,MEM,Memphis Grizzlies
201911040WAS,"Mon, Nov 4, 2019",04-11-2019,6,Home,4,DET,Detroit Pistons,FALSE,99,115,Win,W 1,7:00p,2,WAS,Washington Wizards
201911050CHO,"Tue, Nov 5, 2019",05-11-2019,7,Home,3,IND,Indiana Pacers,FALSE,120,122,Win,W 3,7:00p,4,CHO,Charlotte Hornets
201911050CHI,"Tue, Nov 5, 2019",05-11-2019,7,Away,1,CHI,Chicago Bulls,FALSE,112,118,Win,W 6,8:00p,6,LAL,Los Angeles Lakers
201911050OKC,"Tue, Nov 5, 2019",05-11-2019,7,Away,5,OKC,Oklahoma City Thunder,FALSE,102,94,Loss,L 3,8:00p,2,ORL,Orlando Magic
201911050ATL,"Tue, Nov 5, 2019",05-11-2019,6,Home,3,SAS,San Antonio Spurs,FALSE,100,108,Win,W 1,7:30p,3,ATL,Atlanta Hawks
201911050CLE,"Tue, Nov 5, 2019",05-11-2019,7,Home,5,BOS,Boston Celtics,FALSE,119,113,Loss,L 3,7:00p,2,CLE,Cleveland Cavaliers
201911050DEN,"Tue, Nov 5, 2019",05-11-2019,7,Away,2,DEN,Denver Nuggets,FALSE,109,89,Loss,L 1,9:00p,5,MIA,Miami Heat
201911060HOU,"Wed, Nov 6, 2019",06-11-2019,8,Home,3,GSW,Golden State Warriors,FALSE,112,129,Win,W 2,7:30p,5,HOU,Houston Rockets
201911060MEM,"Wed, Nov 6, 2019",06-11-2019,7,Away,3,MEM,Memphis Grizzlies,FALSE,137,121,Loss,L 2,8:00p,4,MIN,Minnesota Timberwolves
201911060UTA,"Wed, Nov 6, 2019",06-11-2019,7,Away,2,UTA,Utah Jazz,FALSE,106,104,Loss,L 2,9:00p,5,PHI,Philadelphia 76ers
201911060DET,"Wed, Nov 6, 2019",06-11-2019,8,Away,7,DET,Detroit Pistons,FALSE,122,102,Loss,L 4,7:00p,1,NYK,New York Knicks
201911060DAL,"Wed, Nov 6, 2019",06-11-2019,8,Away,6,DAL,Dallas Mavericks,FALSE,107,106,Loss,L 4,8:30p,2,ORL,Orlando Magic
201911060TOR,"Wed, Nov 6, 2019",06-11-2019,8,Away,6,TOR,Toronto Raptors,FALSE,124,120,Loss,L 1,7:30p,2,SAC,Sacramento Kings
201911060IND,"Wed, Nov 6, 2019",06-11-2019,8,Home,4,WAS,Washington Wizards,FALSE,106,121,Win,W 1,7:00p,4,IND,Indiana Pacers
201911060ATL,"Wed, Nov 6, 2019",06-11-2019,9,Away,6,ATL,Atlanta Hawks,FALSE,93,113,Win,W 1,7:30p,3,CHI,Chicago Bulls
201911060LAC,"Wed, Nov 6, 2019",06-11-2019,8,Home,3,MIL,Milwaukee Bucks,FALSE,129,124,Loss,L 1,10:00p,5,LAC,Los Angeles Clippers
201911070SAS,"Thu, Nov 7, 2019",07-11-2019,8,Away,5,SAS,San Antonio Spurs,FALSE,121,112,Loss,L 1,8:30p,3,OKC,Oklahoma City Thunder
201911070LAC,"Thu, Nov 7, 2019",07-11-2019,8,Away,5,LAC,Los Angeles Clippers,FALSE,107,101,Loss,L 3,10:30p,3,POR,Portland Trail Blazers
201911070PHO,"Thu, Nov 7, 2019",07-11-2019,8,Home,3,MIA,Miami Heat,FALSE,124,108,Loss,L 1,9:00p,5,PHO,Phoenix Suns
201911070CHO,"Thu, Nov 7, 2019",07-11-2019,7,Away,1,CHO,Charlotte Hornets,FALSE,87,108,Win,W 6,8:00p,6,BOS,Boston Celtics
201911080ATL,"Fri, Nov 8, 2019",08-11-2019,9,Away,6,ATL,Atlanta Hawks,FALSE,109,121,Win,W 1,7:30p,3,SAC,Sacramento Kings
201911080ORL,"Fri, Nov 8, 2019",08-11-2019,9,Home,6,MEM,Memphis Grizzlies,FALSE,86,118,Win,W 1,7:00p,3,ORL,Orlando Magic
201911080IND,"Fri, Nov 8, 2019",08-11-2019,10,Away,6,IND,Indiana Pacers,FALSE,112,106,Loss,L 1,7:00p,4,DET,Detroit Pistons
201911080WAS,"Fri, Nov 8, 2019",08-11-2019,8,Away,5,WAS,Washington Wizards,FALSE,100,113,Win,W 1,7:00p,3,CLE,Cleveland Cavaliers
201911080LAL,"Fri, Nov 8, 2019",08-11-2019,8,Home,1,MIA,Miami Heat,FALSE,80,95,Win,W 7,10:30p,7,LAL,Los Angeles Lakers
201911080DAL,"Fri, Nov 8, 2019",08-11-2019,8,Home,3,NYK,New York Knicks,FALSE,106,102,Loss,L 1,8:30p,5,DAL,Dallas Mavericks
201911080MIN,"Fri, Nov 8, 2019",08-11-2019,9,Away,7,MIN,Minnesota Timberwolves,FALSE,125,119,Loss,L 2,8:00p,2,GSW,Golden State Warriors
201911080UTA,"Fri, Nov 8, 2019",08-11-2019,9,Away,3,UTA,Utah Jazz,FALSE,103,100,Loss,L 1,9:00p,6,MIL,Milwaukee Bucks
201911080POR,"Fri, Nov 8, 2019",08-11-2019,8,Away,4,POR,Portland Trail Blazers,FALSE,115,119,Win,W 2,10:00p,4,BRK,Brooklyn Nets
201911080NOP,"Fri, Nov 8, 2019",08-11-2019,8,Away,2,NOP,New Orleans Pelicans,FALSE,104,122,Win,W 2,8:00p,6,TOR,Toronto Raptors
201911080DEN,"Fri, Nov 8, 2019",08-11-2019,8,Home,2,PHI,Philadelphia 76ers,FALSE,97,100,Win,W 3,9:00p,6,DEN,Denver Nuggets
201911090MEM,"Sat, Nov 9, 2019",09-11-2019,9,Away,3,MEM,Memphis Grizzlies,FALSE,122,138,Win,W 1,8:00p,6,DAL,Dallas Mavericks
201911090OKC,"Sat, Nov 9, 2019",09-11-2019,9,Home,5,GSW,Golden State Warriors,FALSE,108,114,Win,W 1,8:00p,4,OKC,Oklahoma City Thunder
201911090CHI,"Sat, Nov 9, 2019",09-11-2019,10,Home,7,HOU,Houston Rockets,FALSE,117,94,Loss,L 1,8:00p,3,CHI,Chicago Bulls
201911090SAS,"Sat, Nov 9, 2019",09-11-2019,9,Home,4,BOS,Boston Celtics,FALSE,135,115,Loss,L 1,5:00p,5,SAS,San Antonio Spurs
201911090CHO,"Sat, Nov 9, 2019",09-11-2019,9,Away,7,CHO,Charlotte Hornets,FALSE,110,115,Win,W 1,7:00p,2,NOP,New Orleans Pelicans
201911100MIN,"Sun, Nov 10, 2019",10-11-2019,9,Home,4,DEN,Denver Nuggets,FALSE,100,98,Loss,L 1,3:30p,5,MIN,Minnesota Timberwolves
201911100PHI,"Sun, Nov 10, 2019",10-11-2019,9,Home,3,CHO,Charlotte Hornets,FALSE,106,114,Win,W 1,6:00p,6,PHI,Philadelphia 76ers
201911100PHO,"Sun, Nov 10, 2019",10-11-2019,9,Away,5,PHO,Phoenix Suns,FALSE,138,112,Loss,L 1,8:00p,4,BRK,Brooklyn Nets
201911100POR,"Sun, Nov 10, 2019",10-11-2019,10,Home,6,ATL,Atlanta Hawks,FALSE,113,124,Win,W 1,9:00p,4,POR,Portland Trail Blazers
201911100LAL,"Sun, Nov 10, 2019",10-11-2019,9,Away,2,LAL,Los Angeles Lakers,FALSE,104,113,Win,W 3,9:30p,7,TOR,Toronto Raptors
