Home_team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.612445173,0.595633848,0.667816323,0.746057534,0.689249643,0.71118853,0.606604655,0.675814186,0.749164771,0.622637612,0.582936021,0.631593041,0.605423534,0.572103342,0.727853847,0.665429608,0.582187014,0.686904638,0.650265197,0.753859271,0.736518292,0.737080635,0.695197009,0.686274127,0.652341042,0.742667051,0.716979881,0.633915861,0.692751486,0.654981407
BOS,0.643095597,0.626803655,0.696259439,0.770107501,0.716636249,0.737378357,0.637443546,0.70387615,0.773009997,0.652938744,0.614451055,0.661565941,0.6362995,0.603880704,0.753057178,0.69398344,0.613721141,0.714412279,0.679489868,0.77739083,0.761182493,0.761709227,0.722270671,0.713814083,0.681477219,0.766937809,0.74283444,0.663800375,0.719954866,0.684003492
BRK,0.55571112,0.538294075,0.614080357,0.699278921,0.637096729,0.660906153,0.549644321,0.622640932,0.702730473,0.566339123,0.525230881,0.575720188,0.548419494,0.514148583,0.679163998,0.61153214,0.52446278,0.634566826,0.595410143,0.707955237,0.688715641,0.689336974,0.643526006,0.633887092,0.597610101,0.695518774,0.667234009,0.57816,0.640880068,0.600411516
CHI,0.456767515,0.4393847,0.516833679,0.609861495,0.541317745,0.567141636,0.450685164,0.525885931,0.613772496,0.467494353,0.426504511,0.477039195,0.449460776,0.415681467,0.587295458,0.514151377,0.425751316,0.538603701,0.497310071,0.619714672,0.597963105,0.598660023,0.548240649,0.537875461,0.499595143,0.605613865,0.574091648,0.479533469,0.545387089,0.50251088
CHO,0.527212869,0.509664395,0.586540501,0.674597215,0.610156643,0.634720165,0.521092287,0.595309381,0.678201689,0.537955777,0.496548769,0.547460218,0.519857641,0.485452852,0.653649061,0.583933648,0.495778811,0.607554619,0.567476374,0.6836635,0.663584049,0.664231089,0.616776107,0.60685577,0.569718456,0.670673796,0.641271444,0.549935499,0.614050697,0.57257517
CLE,0.521024271,0.503462432,0.580510578,0.669127074,0.604238746,0.62894839,0.51489729,0.589317801,0.672762747,0.531782915,0.490346802,0.541306065,0.513661579,0.479257545,0.648010516,0.577893066,0.48957711,0.601623013,0.561376335,0.678273081,0.658022624,0.658674859,0.610894614,0.600920539,0.563625722,0.665170437,0.635543746,0.543786956,0.60815395,0.566492107
DAL,0.6091644,0.592305497,0.664747699,0.743434002,0.686286004,0.708345587,0.603306465,0.672783244,0.746562436,0.6193895,0.579576926,0.628376005,0.602121936,0.568721548,0.725111543,0.662350084,0.578826245,0.683928891,0.647120113,0.751289471,0.733831369,0.734397378,0.692264766,0.683295149,0.649204555,0.740020698,0.714171034,0.630707248,0.689806214,0.651856028
DEN,0.575420379,0.558161659,0.63291073,0.715875594,0.655434206,0.678647382,0.569414178,0.641297596,0.719213144,0.585928212,0.545185639,0.595188417,0.568200879,0.534156008,0.69638881,0.630412018,0.544421819,0.652962504,0.614579733,0.724261884,0.705649899,0.706251848,0.661711114,0.652298239,0.61674255,0.71223757,0.68480206,0.597594527,0.659128658,0.619495576
DET,0.503326455,0.485756171,0.563167933,0.653259755,0.587179471,0.612270763,0.497191559,0.572070858,0.656980401,0.514111906,0.47266272,0.523672537,0.495954897,0.461611162,0.63168794,0.56052413,0.471895084,0.584528515,0.543864206,0.66262322,0.641907768,0.642574043,0.593929433,0.58381675,0.546130792,0.649212846,0.618982976,0.526165316,0.591149248,0.549020144
GSW,0.597155545,0.58013567,0.653475183,0.733747528,0.675384042,0.69787274,0.591238397,0.661643389,0.736952282,0.607492387,0.567304712,0.616585909,0.590042319,0.556375006,0.714998505,0.65103927,0.566548506,0.672984047,0.635579816,0.741796569,0.723916987,0.724496164,0.681474141,0.672338874,0.63769426,0.730252115,0.703819904,0.618946263,0.678969359,0.640384541
HOU,0.670763897,0.65505751,0.721590568,0.791127475,0.740900395,0.760460059,0.665321982,0.728819469,0.79383563,0.680223408,0.643107616,0.688495941,0.664219568,0.632853478,0.775181015,0.719427892,0.64240038,0.738797451,0.705628246,0.797919607,0.782788346,0.783280994,0.746223201,0.738231617,0.707523285,0.788167881,0.765589052,0.690635719,0.744036341,0.70993091
IND,0.597987253,0.580977859,0.654257936,0.734422648,0.676141832,0.69860146,0.592073976,0.662417223,0.737622182,0.608316751,0.568153481,0.617403203,0.590878651,0.55722848,0.715702746,0.651824594,0.567397626,0.673744733,0.636380499,0.742458444,0.724607678,0.725185956,0.682224404,0.673100332,0.63849294,0.730932848,0.704540353,0.619761628,0.679722749,0.641180627
LAC,0.654852117,0.638795411,0.707062435,0.77911722,0.726998677,0.747249784,0.649284711,0.71451932,0.781938174,0.66454016,0.626603281,0.673023388,0.648157407,0.616157972,0.762529064,0.704833068,0.625882365,0.724824808,0.690624279,0.786194355,0.770437726,0.770950189,0.732503963,0.724240003,0.692573826,0.776035625,0.752569601,0.675219313,0.730241617,0.695051472
LAL,0.719813601,0.705419519,0.765712936,0.82687363,0.782883318,0.800128637,0.714837754,0.772157935,0.829218366,0.728434392,0.694400382,0.735943873,0.713828288,0.684897893,0.813011193,0.763780802,0.693746386,0.781020411,0.751408828,0.832749107,0.819636283,0.820064568,0.787590913,0.780518871,0.753112268,0.824308055,0.80462647,0.737881807,0.785658136,0.755274418
MEM,0.470487576,0.453018052,0.530595711,0.622907101,0.554982873,0.580633441,0.464378706,0.539619799,0.62676736,0.481251177,0.440051915,0.490818008,0.463148482,0.429142339,0.600601466,0.527920024,0.439293122,0.552282809,0.511102161,0.632629274,0.611152897,0.611841793,0.561866462,0.551558183,0.513385884,0.618712705,0.587524375,0.493316365,0.559029742,0.516299065
